date,time,symbol,group,rank,score,price,is_live_adjusted
2026-05-28,21:04:30,POW,MUA EARLY,2,3.0,13850.0,True
2026-05-28,21:04:30,TPB,MUA EARLY,2,3.0,15900.0,True
2026-05-28,21:04:30,HAX,MUA EARLY,2,3.0,10000.0,True
2026-05-28,21:04:30,DXG,MUA EARLY,2,3.0,13350.0,True
2026-05-28,21:04:30,BCM,TÍCH LŨY,1,2.0,54100.0,True
2026-05-28,21:04:30,CMG,TÍCH LŨY,1,2.0,27600.0,True
2026-05-28,21:04:30,NTL,TÍCH LŨY,1,2.0,16149.0,True
2026-05-28,21:04:30,VGI,TÍCH LŨY,1,2.0,93500.0,True
2026-05-28,21:04:30,SBT,TÍCH LŨY,1,2.0,20750.0,True
2026-05-28,21:04:30,FTS,TÍCH LŨY,1,2.0,23800.0,True
2026-05-28,21:04:30,GIL,TÍCH LŨY,1,2.0,12600.0,True
2026-05-28,21:04:30,LSS,TÍCH LŨY,1,2.0,8280.0,True
2026-05-28,21:04:30,VNM,TÍCH LŨY,1,2.0,59000.0,True
2026-05-28,21:04:30,IDC,TÍCH LŨY,1,2.0,43400.0,True
2026-05-28,21:04:30,PVS,TÍCH LŨY,1,2.0,38700.0,True
2026-05-28,21:04:30,AAA,TÍCH LŨY,1,2.0,7060.0,True
2026-05-28,21:04:30,GEX,THEO DÕI,0,1.0,32299.0,True
2026-05-28,21:04:30,PHR,THEO DÕI,0,1.0,67200.0,True
2026-05-28,21:04:30,EVF,THEO DÕI,0,1.0,13650.0,True
2026-05-28,21:04:30,BID,THEO DÕI,0,1.0,42500.0,True
2026-05-28,21:04:30,PLX,THEO DÕI,0,1.0,39450.0,True
2026-05-28,21:04:30,OIL,THEO DÕI,0,1.0,14700.0,True
2026-05-28,21:04:30,TCX,THEO DÕI,0,1.0,41800.0,True
2026-05-28,21:04:30,VIX,THEO DÕI,0,1.0,17600.0,True
2026-05-28,21:04:30,BVH,THEO DÕI,0,1.0,67000.0,True
2026-05-28,21:04:30,FPT,THEO DÕI,0,1.0,71200.0,True
2026-05-28,21:04:30,FOX,THEO DÕI,0,1.0,80200.0,True
2026-05-28,21:04:30,SAB,THEO DÕI,0,1.0,47200.0,True
2026-05-28,21:04:30,DXS,THEO DÕI,0,1.0,7640.0,True
2026-05-28,21:04:30,VTP,THEO DÕI,0,1.0,65200.0,True
2026-05-28,21:04:30,HCM,THEO DÕI,0,1.0,27550.0,True
2026-05-28,21:04:30,GEG,THEO DÕI,0,1.0,14200.0,True
2026-05-28,21:04:30,DGW,THEO DÕI,0,1.0,41600.0,True
2026-05-28,21:04:30,MSR,THEO DÕI,0,1.0,39800.0,True
2026-05-28,21:04:30,MCH,THEO DÕI,0,1.0,130500.0,True
2026-05-28,21:04:30,DPR,THEO DÕI,0,1.0,41500.0,True
2026-05-28,21:04:30,NT2,THEO DÕI,0,1.0,23000.0,True
2026-05-28,21:04:30,BAF,THEO DÕI,0,1.0,34650.0,True
2026-05-28,21:04:30,DHT,THEO DÕI,0,1.0,67000.0,True
2026-05-28,21:04:30,TCB,THEO DÕI,0,1.0,32600.0,True
2026-05-28,21:04:30,SSI,THEO DÕI,0,1.0,27550.0,True
2026-05-28,21:04:30,FCN,THEO DÕI,0,1.0,12900.0,True
2026-05-28,21:04:30,SHB,THEO DÕI,0,1.0,13800.0,True
2026-05-28,21:04:30,HVN,THEO DÕI,0,1.0,21500.0,True
2026-05-28,21:04:30,VCI,THEO DÕI,0,1.0,25000.0,True
2026-05-28,21:04:30,KDH,THEO DÕI,0,1.0,23000.0,True
2026-05-28,21:04:30,TNG,THEO DÕI,0,1.0,19100.0,True
2026-05-28,21:04:30,HDG,THEO DÕI,0,1.0,23800.0,True
2026-05-28,21:04:30,REE,THEO DÕI,0,0.0,53000.0,True
2026-05-28,21:04:30,TLH,THEO DÕI,0,0.0,4590.0,True
2026-05-28,21:04:30,VOS,THEO DÕI,0,0.0,12450.0,True
2026-05-28,21:04:30,TCM,THEO DÕI,0,0.0,21150.0,True
2026-05-28,21:04:30,VGT,THEO DÕI,0,0.0,11800.0,True
2026-05-28,21:04:30,VGS,THEO DÕI,0,0.0,22600.0,True
2026-05-28,21:04:30,DDV,THEO DÕI,0,0.0,25900.0,True
2026-05-28,21:04:30,VPX,THEO DÕI,0,0.0,27300.0,True
