Date,Close,Volume,,
07/07/2025,1402.06,1300200100,,
04/07/2025,1386.97,890148700,,
03/07/2025,1381.96,1393887700,,
02/07/2025,1384.59,898309400,,
01/07/2025,1377.84,779920400,,
30/06/2025,1376.07,679430900,,
27/06/2025,1371.44,733409500,,
26/06/2025,1365.67,648547700,,
25/06/2025,1366.75,790343400,,
24/06/2025,1366.77,936031000,,
23/06/2025,1358.18,780793400,,
20/06/2025,1349.35,833901600,,
19/06/2025,1352.04,690359900,,
18/06/2025,1346.83,816679400,,
17/06/2025,1347.69,808478500,,
16/06/2025,1338.11,831015000,,
13/06/2025,1315.49,1220129900,,
12/06/2025,1322.99,868072500,,
12/06/2025,1322.99,868072500,,
11/06/2025,1315.2,572876400,,
10/06/2025,1316.23,747092000,,
09/06/2025,1310.57,753012900,,
06/06/2025,1329.89,952662100,,
05/06/2025,1342.09,791942600,,
04/06/2025,1345.74,989968900,,
03/06/2025,1347.25,1072315600,,
02/06/2025,1336.3,904459900,,
30/05/2025,1332.6,961366200,,
29/05/2025,1341.86,922074200,,
28/05/2025,1341.87,933590900,,
27/05/2025,1339.81,1087996400,,
26/05/2025,1332.51,995694500,,
23/05/2025,1314.46,670601900,,
22/05/2025,1313.84,1175703300,,
21/05/2025,1323.05,1054310500,,
20/05/2025,1315.15,917183900,,
19/05/2025,1296.29,888012900,,
16/05/2025,1301.39,891476200,,
15/05/2025,1313.2,1113717600,,
14/05/2025,1309.73,982402600,,
13/05/2025,1293.43,947202300,,
12/05/2025,1283.26,897833900,,
12/05/2025,1283.26,897833900,,
09/05/2025,1267.3,732307300,,
08/05/2025,1269.8,828921500,,
07/05/2025,1250.37,730692600,,
06/05/2025,1241.95,775870600,,
05/05/2025,1240.05,595062500,,
29/04/2025,1226.3,561661100,,
28/04/2025,1226.8,576313200,,
25/04/2025,1229.23,787290000,,
24/04/2025,1223.35,741456000,,
23/04/2025,1211,786549800,,
22/04/2025,1197.13,1615665600,,
21/04/2025,1207.07,819133100,,
18/04/2025,1219.12,1039406300,,
17/04/2025,1217.25,697596200,,
16/04/2025,1210.3,762327900,,
15/04/2025,1227.79,1004326400,,
14/04/2025,1241.44,983147400,,
11/04/2025,1222.46,1697947900,,
10/04/2025,1168.34,280341400,,
09/04/2025,1094.3,1518649100,,
08/04/2025,1132.79,1055799900,,
04/04/2025,1210.67,1873634000,,
03/04/2025,1229.84,1716858800,,
02/04/2025,1317.83,709130200,,
01/04/2025,1317.33,550212000,,
31/03/2025,1306.86,753148300,,
28/03/2025,1317.46,636613400,,
27/03/2025,1323.81,564278800,,
26/03/2025,1326.09,734831200,,
25/03/2025,1331.92,825911400,,
24/03/2025,1330.32,794985200,,
21/03/2025,1321.88,714332100,,
20/03/2025,1323.93,821245400,,
19/03/2025,1324.63,835603500,,
18/03/2025,1330.97,810147700,,
17/03/2025,1336.26,837533300,,
14/03/2025,1326.15,940130200,,
13/03/2025,1326.27,997593300,,
12/03/2025,1334.41,851270200,,
12/03/2025,1334.41,851270200,,
11/03/2025,1332.54,847458500,,
10/03/2025,1330.28,856954000,,
07/03/2025,1326.05,892234400,,
06/03/2025,1318.22,983991300,,
05/03/2025,1304.71,770489000,,
04/03/2025,1311.91,935915000,,
03/03/2025,1309.37,801877900,,
28/02/2025,1305.36,752261600,,
27/02/2025,1307.8,846430300,,
26/02/2025,1302.96,710467500,,
25/02/2025,1303.16,827899600,,
24/02/2025,1304.56,807663000,,
21/02/2025,1296.75,667595300,,
20/02/2025,1292.98,713812400,,
19/02/2025,1288.56,736575500,,
18/02/2025,1278.14,630728100,,
17/02/2025,1272.72,739384500,,
14/02/2025,1276.08,612731000,,
13/02/2025,1270.35,471455600,,
12/02/2025,1266.91,461579300,,
12/02/2025,1266.91,461579300,,
11/02/2025,1268.45,571767200,,
10/02/2025,1263.26,722097700,,
07/02/2025,1275.2,549313500,,
06/02/2025,1271.48,537101800,,
05/02/2025,1269.61,533635600,,
04/02/2025,1264.68,584557300,,
24/01/2025,1265.05,495593500,,
23/01/2025,1259.63,495626300,,
22/01/2025,1242.53,400259000,,
21/01/2025,1246.09,379222600,,
20/01/2025,1249.55,356673500,,
17/01/2025,1249.11,356902800,,
16/01/2025,1242.36,401866600,,
15/01/2025,1236.18,392613400,,
14/01/2025,1229.07,322278200,,
13/01/2025,1235.65,434027000,,
