setup,source,N_rows,T3_N,T3_winrate,T3_avg,T3_median,T3_avg_MFE,T3_avg_MAE,T5_N,T5_winrate,T5_avg,T5_median,T5_avg_MFE,T5_avg_MAE,T10_N,T10_winrate,T10_avg,T10_median,T10_avg_MFE,T10_avg_MAE,evidence_quality
TÍCH LŨY,pattern_history FIRST/day ⨝ lifecycle (QUARANTINE save-clock),0,0,,,,,,0,,,,,,0,,,,,,NO_ROWS
ALL_PH_LAST,pattern_history LAST/day ⨝ lifecycle (UNSAFE last-wins),1766,1766,47.621744054360136,0.11543263585210556,0.0,1.27278089210959,-1.07688963095387,1766,52.60475651189128,0.2747641284423379,0.365631934974997,2.1721133607503895,-1.7102979464890997,1766,47.67836919592299,0.031214553602226167,0.0,3.447947709255292,-3.039465214343111,ADEQUATE_FOR_SETUP_BASELINE_ONLY
CP MẠNH,pattern_history LAST/day ⨝ lifecycle (UNSAFE last-wins),70,70,38.57142857142858,-1.2761065786370667,-0.455006101218175,-0.09730322468891633,-2.16363075985788,70,31.428571428571427,-2.0695262781696355,-1.23316443636049,0.2983961904924395,-3.2140919369024434,70,40.0,-1.8463224595552752,-0.5672166169051807,1.0961373216963137,-4.456611443795901,PROVISIONAL
PULL ĐẸP,pattern_history LAST/day ⨝ lifecycle (UNSAFE last-wins),2,2,0.0,-0.6205975914564843,-0.6205975914564843,-0.46415587366507305,-1.229834128607138,2,0.0,-2.002385821404229,-2.002385821404229,-0.46415587366507305,-2.1557600545330624,2,0.0,-2.925471483753695,-2.925471483753695,-0.46415587366507305,-4.306786336438684,INSUFFICIENT
PULL VỪA,pattern_history LAST/day ⨝ lifecycle (UNSAFE last-wins),109,109,50.45871559633027,0.38241473368161927,0.134952766531704,1.4110640188579966,-0.8572009487128298,109,51.37614678899083,0.27602934685946506,0.2554278416347477,2.0135465721368004,-1.3649129181737327,109,44.95412844036697,0.12158079027606586,-0.5442176870748328,2.9842746548819874,-2.541881989273039,PROVISIONAL
MUA EARLY,pattern_history LAST/day ⨝ lifecycle (UNSAFE last-wins),1585,1585,47.88643533123028,0.15945708809528675,0.0,1.3259713658584031,-1.0438096930016214,1585,53.69085173501578,0.38108382532250473,0.4608294930875667,2.2690953925142816,-1.6670742648117196,1585,48.26498422712934,0.11165054300177729,0.0,3.588636224852553,-3.0094978283662983,ADEQUATE_FOR_SETUP_BASELINE_ONLY
MUA BREAK,pattern_history LAST/day ⨝ lifecycle (UNSAFE last-wins),0,0,,,,,,0,,,,,,0,,,,,,NO_ROWS
TÍCH LŨY,pattern_history LAST/day ⨝ lifecycle (UNSAFE last-wins),0,0,,,,,,0,,,,,,0,,,,,,NO_ROWS
ALL_ELITE_ACTIONABLE,elite BUY/MUA NHỎ ⨝ lifecycle (selection bias + save clock),255,255,28.627450980392155,-0.8640067179264771,-0.9771986970684045,0.4130332254478389,-1.6494759205572673,255,28.627450980392155,-1.2724471680324647,-1.4681892332789603,0.8814888201535708,-2.5586305378547403,183,38.79781420765027,-0.9081028461776115,-0.9756097560975618,2.1688826709840656,-3.5972509736915845,ADEQUATE_FOR_SETUP_BASELINE_ONLY
CP MẠNH,elite BUY/MUA NHỎ ⨝ lifecycle (selection bias + save clock),13,13,30.76923076923077,-1.2800273019216257,-0.7874015748031482,-0.033192411409770174,-1.6967143469148565,13,23.076923076923077,-2.010038197757418,-1.7391304347826098,0.18197724215728892,-2.606195523366992,12,25.0,-2.372430300237752,-2.1200694983549595,0.6137121444571328,-3.78955516279524,INSUFFICIENT
PULL ĐẸP,elite BUY/MUA NHỎ ⨝ lifecycle (selection bias + save clock),4,4,0.0,-1.5042200650829507,-1.1529195152113259,-1.0976196039581139,-1.8088383336582774,4,0.0,-2.611644380967265,-2.1569616407399463,-1.0976196039581139,-2.8770107428147007,2,0.0,-2.925471483753695,-2.925471483753695,-0.46415587366507305,-4.306786336438684,INSUFFICIENT
PULL VỪA,elite BUY/MUA NHỎ ⨝ lifecycle (selection bias + save clock),146,146,33.56164383561644,-0.5809508550430473,-0.6303730617269243,0.621930123518493,-1.5215526844743792,146,33.56164383561644,-1.1410286039723563,-0.8757612934320647,1.0728191566464313,-2.539801219763223,90,43.333333333333336,-0.5271686126572691,-0.9331282289429366,2.6728609908602383,-3.4486024788058343,PROVISIONAL
MUA EARLY,elite BUY/MUA NHỎ ⨝ lifecycle (selection bias + save clock),92,92,21.73913043478261,-1.2265831853223244,-1.4739746263468856,0.21025711108324363,-1.8388807387425814,92,22.82608695652174,-1.3185519301478152,-1.6808119176212222,0.7627481145279262,-2.5679480901358547,79,36.708860759493675,-1.0685764448226365,-0.7185628742514938,1.8976177927405964,-3.71942367679259,PROVISIONAL
MUA BREAK,elite BUY/MUA NHỎ ⨝ lifecycle (selection bias + save clock),0,0,,,,,,0,,,,,,0,,,,,,NO_ROWS
TÍCH LŨY,elite BUY/MUA NHỎ ⨝ lifecycle (selection bias + save clock),0,0,,,,,,0,,,,,,0,,,,,,NO_ROWS
