split,h,feat,n,mean,base,incr,wr,symbols
validation,5,agree_neg,22858,0.003050727888174104,0.004919132598581162,-0.0018684047104070576,0.5078309563391373,103
validation,5,px_neg,48123,0.002731365565586457,0.004919132598581162,-0.002187767032994705,0.503272863287825,104
validation,5,abn_abs_z20,7108,0.007630371802824961,0.004919132598581162,0.0027112392042437997,0.5256049521665729,101
validation,5,net_pos,44326,0.005065852117609619,0.004919132598581162,0.00014671951902845738,0.5070613184135722,104
validation,5,net_neg,44136,0.0053418110039252535,0.004919132598581162,0.00042267840534409174,0.5142287475077034,103
validation,5,diverge_sell_up,17241,0.008721122164227397,0.004919132598581162,0.003801989565646235,0.5268835914390116,103
validation,5,diverge_buy_down,16977,0.002960290901093072,0.004919132598581162,-0.0019588416974880896,0.49838016139482827,104
validation,5,abn_buy_z15_px_up,3561,0.005157981750583973,0.004919132598581162,0.00023884915200281156,0.4990171300196574,101
validation,10,agree_pos,23301,0.012625899757909868,0.009749447114236021,0.0028764526436738467,0.5323805845242694,104
validation,10,px_pos,48214,0.01311996774389831,0.009749447114236021,0.0033705206296622894,0.53175426224748,104
validation,10,agree_neg,22860,0.008538600062048372,0.009749447114236021,-0.0012108470521876493,0.5178477690288714,103
validation,10,px_neg,48111,0.006938616083463757,0.009749447114236021,-0.0028108310307722647,0.5112760075658374,104
validation,10,abn_abs_z20,7110,0.013860493587264818,0.009749447114236021,0.004111046473028797,0.5308016877637131,101
validation,10,net_pos,44324,0.009514975473054958,0.009749447114236021,-0.0002344716411810631,0.5184550130854616,104
validation,10,net_neg,44137,0.011050230632561109,0.009749447114236021,0.0013007835183250875,0.5262025058341074,103
validation,10,diverge_sell_up,17240,0.015011063411943323,0.009749447114236021,0.005261616297707302,0.5390951276102088,103
validation,10,diverge_buy_down,16974,0.006222054804890686,0.009749447114236021,-0.0035273923093453357,0.5048898315070107,104
validation,10,abn_buy_z15_px_up,3562,0.010269546218722513,0.009749447114236021,0.0005200991044864919,0.5042111173498035,101
holdout,1,agree_pos,32496,0.0012402807778824315,-0.00020865903158223334,0.0014489398094646648,0.45753323485967506,117
holdout,1,px_pos,58143,0.0011002109578794154,-0.00020865903158223334,0.0013088699894616487,0.4561856113375643,117
holdout,1,agree_neg,37816,-0.0016649143307482298,-0.00020865903158223334,-0.0014562552991659965,0.45343240956209013,117
holdout,1,px_neg,59515,-0.0015319190859539858,-0.00020865903158223334,-0.0013232600543717525,0.45986726035453246,117
holdout,1,abn_abs_z20,8564,0.0005050213667588715,-0.00020865903158223334,0.0007136803983411048,0.4694068192433442,117
holdout,1,net_pos,55633,0.0003136566592220489,-0.00020865903158223334,0.0005223156908042822,0.46190210846080565,117
holdout,1,net_neg,66315,-0.0006853233844305467,-0.00020865903158223334,-0.00047666435284831335,0.4511648948201764,117
holdout,1,diverge_sell_up,23278,0.0007795605907314807,-0.00020865903158223334,0.000988219622313714,0.45188590085058855,117
holdout,1,diverge_buy_down,19202,-0.0012216521183696187,-0.00020865903158223334,-0.0010129930867873854,0.47302364337048225,117
holdout,1,abn_buy_z15_px_up,5685,0.001026505525353937,-0.00020865903158223334,0.0012351645569361703,0.4531222515391381,117
holdout,3,agree_pos,32414,0.00048354751922725047,-0.0005841154741477706,0.0010676629933750212,0.48324797926821744,117
holdout,3,px_pos,57986,0.00026394230637951104,-0.0005841154741477706,0.0008480577805272816,0.47994343462215017,117
holdout,3,agree_neg,37768,-0.0019214515136292132,-0.0005841154741477706,-0.0013373360394814426,0.48326625714890914,117
holdout,3,px_neg,59458,-0.0014804840558881058,-0.0005841154741477706,-0.0008963685817403352,0.48994248040633726,117
holdout,3,abn_abs_z20,8549,-0.000621765656829407,-0.0005841154741477706,-3.7650182681636386e-05,0.48426716575038015,117
holdout,3,net_pos,55541,-6.713802016572515e-05,-0.0005841154741477706,0.0005169774539820455,0.4891161484308889,117
holdout,3,net_neg,66178,-0.0011891004888773345,-0.0005841154741477706,-0.0006049850147295639,0.47944936383692466,117
